"iso3","country_name","region_code","income_group","population_band","n_providers","n_primary","providers_per_10m"
"COD","Democratic Republic of the Congo","SSA","LIC","XL",60,25,3
"ETH","Ethiopia","SSA","LIC","XL",62,28,3.1
"CHN","China","CHN","UMIC","XL",69,12,3.5
"RUS","Russia","RUS","UMIC","XL",75,12,3.8
"EGY","Egypt","MENA","LMIC","XL",80,37,4
"PHL","Philippines","SEA","LMIC","XL",82,31,4.1
"VNM","Vietnam","SEA","LMIC","XL",103,32,5.2
"NGA","Nigeria","SSA","LMIC","XL",118,47,5.9
"BGD","Bangladesh","SAS","LMIC","XL",127,43,6.3
"JPN","Japan","EAS","HIC","XL",133,35,6.7
"IDN","Indonesia","SEA","UMIC","XL",145,49,7.2
"BRA","Brazil","LAC","UMIC","XL",146,46,7.3
"MEX","Mexico","LAC","UMIC","XL",148,49,7.4
"PAK","Pakistan","SAS","LMIC","XL",149,53,7.4
"IND","India","SAS","LMIC","XL",177,72,8.8
"IRN","Iran","MENA","LMIC","L",66,18,9.4
"USA","United States","NOAM","HIC","XL",239,92,11.9
"TJK","Tajikistan","RUS","LMIC","M",34,3,13.6
"UZB","Uzbekistan","RUS","LMIC","M",36,4,14.4
"TUR","Turkiye","MENA","UMIC","L",103,33,14.7
"CUB","Cuba","LAC","UMIC","M",38,4,15.2
"THA","Thailand","SEA","UMIC","L",109,26,15.6
"TZA","Tanzania","SSA","LMIC","L",112,42,16
"PRK","North Korea","EAS","LIC","M",40,3,16
"ZAF","South Africa","SSA","UMIC","L",114,44,16.3
"BDI","Burundi","SSA","LIC","M",41,10,16.4
"KOR","South Korea","EAS","HIC","L",118,29,16.9
"TCD","Chad","SSA","LIC","M",43,12,17.2
"MDG","Madagascar","SSA","LIC","M",43,12,17.2
"VEN","Venezuela","LAC","UMIC","M",44,11,17.6
"SSD","South Sudan","SSA","LIC","M",44,14,17.6
"KHM","Cambodia","SEA","LMIC","M",45,10,18
"SOM","Somalia","SSA","LIC","M",46,15,18.4
"PNG","Papua New Guinea","OCE","LMIC","M",46,9,18.4
"HTI","Haiti","LAC","LIC","M",47,11,18.8
"GIN","Guinea","SSA","LMIC","M",47,18,18.8
"COL","Colombia","LAC","UMIC","L",134,43,19.1
"MMR","Myanmar","SEA","LMIC","M",49,11,19.6
"MWI","Malawi","SSA","LIC","M",51,20,20.4
"AFG","Afghanistan","SAS","LIC","M",51,14,20.4
"GTM","Guatemala","LAC","UMIC","M",52,15,20.8
"BOL","Bolivia","LAC","LMIC","M",52,17,20.8
"SYR","Syria","MENA","LIC","M",52,15,20.8
"HND","Honduras","LAC","LMIC","M",53,18,21.2
"SDN","Sudan","MENA","LIC","M",53,15,21.2
"YEM","Yemen","MENA","LIC","M",53,16,21.2
"NER","Niger","SSA","LIC","M",54,21,21.6
"MOZ","Mozambique","SSA","LIC","M",54,23,21.6
"BFA","Burkina Faso","SSA","LIC","M",56,23,22.4
"MLI","Mali","SSA","LIC","M",57,24,22.8
"IRQ","Iraq","MENA","UMIC","M",61,23,24.4
"RWA","Rwanda","SSA","LIC","M",61,29,24.4
"NPL","Nepal","SAS","LMIC","M",61,27,24.4
"KAZ","Kazakhstan","RUS","UMIC","M",62,4,24.8
"LKA","Sri Lanka","SAS","LMIC","M",62,27,24.8
"UKR","Ukraine","EEU","LMIC","M",66,27,26.4
"ITA","Italy","WEU","HIC","L",186,66,26.6
"DEU","Germany","WEU","HIC","L",190,68,27.1
"TUN","Tunisia","MENA","LMIC","M",68,29,27.2
"UGA","Uganda","SSA","LIC","M",68,34,27.2
"AGO","Angola","SSA","LMIC","M",70,22,28
"FRA","France","WEU","HIC","L",200,75,28.6
"ZWE","Zimbabwe","SSA","LMIC","M",72,26,28.8
"MAR","Morocco","MENA","LMIC","M",73,33,29.2
"GBR","United Kingdom","WEU","HIC","L",205,79,29.3
"ZMB","Zambia","SSA","LMIC","M",79,32,31.6
"BEN","Benin","SSA","LMIC","M",86,27,34.4
"AZE","Azerbaijan","EEU","UMIC","M",88,29,35.2
"CMR","Cameroon","SSA","LMIC","M",89,30,35.6
"ARG","Argentina","LAC","UMIC","M",93,30,37.2
"MYS","Malaysia","SEA","UMIC","M",93,18,37.2
"DZA","Algeria","MENA","UMIC","M",96,24,38.4
"KEN","Kenya","SSA","LMIC","M",97,46,38.8
"TWN","Taiwan","EAS","HIC","M",98,19,39.2
"CIV","Ivory Coast","SSA","LMIC","M",100,36,40
"GHA","Ghana","SSA","LMIC","M",102,41,40.8
"ECU","Ecuador","LAC","UMIC","M",104,30,41.6
"SEN","Senegal","SSA","LMIC","M",104,37,41.6
"PER","Peru","LAC","UMIC","M",105,31,42
"JOR","Jordan","MENA","UMIC","M",109,35,43.6
"SAU","Saudi Arabia","MENA","HIC","M",118,32,47.2
"ARE","United Arab Emirates","MENA","HIC","M",118,33,47.2
"DOM","Dominican Republic","LAC","UMIC","M",119,33,47.6
"ROU","Romania","EEU","HIC","M",119,28,47.6
"CHL","Chile","LAC","HIC","M",126,32,50.4
"CZE","Czechia","EEU","HIC","M",126,35,50.4
"CAN","Canada","NOAM","HIC","M",131,30,52.4
"AUS","Australia","OCE","HIC","M",134,30,53.6
"POL","Poland","EEU","HIC","M",135,39,54
"GRC","Greece","WEU","HIC","M",141,37,56.4
"SWE","Sweden","WEU","HIC","M",145,43,58
"PRT","Portugal","WEU","HIC","M",152,47,60.8
"BEL","Belgium","WEU","HIC","M",163,51,65.2
"ESP","Spain","WEU","HIC","M",165,54,66
"NLD","Netherlands","WEU","HIC","M",181,63,72.4
