"region","domain","n_providers","n_accessible"
"CHN","device_telemetry",0,0
"CHN","education",0,0
"CHN","financial_transactions",0,0
"CHN","migration_displacement",0,0
"CHN","mobility_location",0,0
"EAS","migration_displacement",0,0
"EEU","financial_transactions",0,0
"LAC","financial_transactions",0,0
"OCE","financial_transactions",0,0
"RUS","device_telemetry",0,0
"RUS","financial_transactions",0,0
"SSA","device_telemetry",0,0
"SSA","financial_transactions",0,0
"CHN","legal_regulatory",1,1
"EAS","financial_transactions",1,0
"MENA","financial_transactions",1,0
"MENA","legal_regulatory",1,1
"NAM","migration_displacement",1,0
"OCE","migration_displacement",1,0
"RUS","credit_risk",1,0
"RUS","education",1,0
"RUS","identity_biometric",1,0
"RUS","legal_regulatory",1,1
"RUS","migration_displacement",1,1
"RUS","mobility_location",1,0
"SAS","financial_transactions",1,0
"SEA","financial_transactions",1,0
"SEA","migration_displacement",1,0
"SSA","credit_risk",1,0
"SSA","legal_regulatory",1,1
"WEU","financial_transactions",1,0
"CHN","credit_risk",2,0
"CHN","infrastructure",2,0
"CHN","labor_employment",2,1
"CHN","social_discourse",2,1
"EAS","credit_risk",2,0
"EAS","device_telemetry",2,0
"EEU","device_telemetry",2,0
"EEU","legal_regulatory",2,2
"LAC","migration_displacement",2,1
"MENA","credit_risk",2,0
"MENA","device_telemetry",2,0
"RUS","ai_labels",2,1
"SAS","device_telemetry",2,0
"SEA","device_telemetry",2,0
"SEA","legal_regulatory",2,2
