company_id,company_name,parent_company,hq_country,hq_region,founded_year,maturity_class,ownership_type,status,ceased_year,segment_primary,segment_secondary,modality_primary,unit_of_observation,temporal_granularity,spatial_scope,countries_claimed,domains_primary,domains_secondary,human_subjects,consent_model,access_model,microdata_access,evidence_level,notes
ipsos,Ipsos,NA,FRA,WEU,1975,established,public_listed,active,NA,survey_insights,panel_sample,face_to_face,individual,episodic,global,90,consumer_behavior|public_opinion,media_audience|health_clinical,direct,explicit_consent,project_commission,commercial_only,B,Own field force in roughly 90 markets; sold 80 percent of its Russian subsidiary in February 2026 under the foreign ownership cap
kantar,Kantar,Bain Capital,GBR,WEU,1992,established,private_pe,active,NA,survey_insights,audience_measurement,online_panel,individual,episodic,global,90,consumer_behavior|media_audience,public_opinion|prices_retail,direct,explicit_consent,project_commission,commercial_only,B,Kantar Public divested in 2022 and renamed Verian
niq,NIQ,NA,USA,NOAM,1923,established,public_listed,active,NA,retail_pricing,survey_insights,transaction,transaction,weekly,global,95,prices_retail|consumer_behavior,supply_chain,indirect,contractual_third_party,subscription,commercial_only,B,Absorbed GfK in 2023; retail measurement built on retailer and panel feeds; divesting its Russian division under the 2026 ownership law
circana,Circana,NA,USA,NOAM,1979,established,private_pe,active,NA,retail_pricing,consumer_broker,transaction,transaction,weekly,multi_region,15,prices_retail|consumer_behavior,NA,indirect,contractual_third_party,subscription,commercial_only,B,Formed from IRI and NPD merger in 2022; strongest in North America and Western Europe
gallup,Gallup,NA,USA,NOAM,1935,established,private_independent,active,NA,survey_insights,NA,telephone,individual,annual,global,140,public_opinion|labor_employment,health_clinical,direct,explicit_consent,subscription,researcher_restricted,B,World Poll is the widest annual comparative attitudinal series run by a commercial firm
yougov,YouGov,NA,GBR,WEU,2000,established,public_listed,active,NA,survey_insights,panel_sample,online_panel,individual,daily,multi_region,55,public_opinion|consumer_behavior,media_audience,direct,explicit_consent,subscription,researcher_restricted,B,Online-first so coverage tracks internet penetration; thin in low-connectivity states
morning_consult,Morning Consult,NA,USA,NOAM,2014,scaleup,private_vc,active,NA,survey_insights,panel_sample,online_panel,individual,daily,multi_region,43,public_opinion|consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,B,High-frequency online tracking concentrated in large economies
pew_research,Pew Research Center,Pew Charitable Trusts,USA,NOAM,2004,established,nonprofit,active,NA,survey_insights,NA,telephone,individual,episodic,global,60,public_opinion|social_discourse,media_audience,direct,explicit_consent,open_free,open,B,Publishes microdata openly; country set varies sharply by wave
verian,Verian,Trilantic Europe,GBR,WEU,2022,scaleup,private_pe,active,NA,survey_insights,field_agency,face_to_face,individual,episodic,multi_region,30,public_opinion|health_clinical,education,direct,explicit_consent,project_commission,researcher_restricted,B,Former Kantar Public; heavy public-sector and Eurobarometer style work
ipsos_mori_uk,Ipsos UK,Ipsos,GBR,WEU,1946,established,subsidiary,active,NA,survey_insights,NA,telephone,individual,episodic,single_country,1,public_opinion,health_clinical,direct,explicit_consent,project_commission,researcher_restricted,C,Retained as a distinct national research brand
savanta,Savanta,Next 15,GBR,WEU,2019,scaleup,subsidiary,active,NA,survey_insights,panel_sample,online_panel,individual,episodic,multi_region,12,consumer_behavior|public_opinion,NA,direct,explicit_consent,project_commission,commercial_only,C,Formed by merger of ComRes and other UK agencies
system1_group,System1 Group,NA,GBR,WEU,2000,established,public_listed,active,NA,survey_insights,NA,online_panel,individual,episodic,multi_region,20,consumer_behavior|media_audience,NA,direct,explicit_consent,subscription,commercial_only,C,Advertising effectiveness testing using rapid online response
euromonitor,Euromonitor International,NA,GBR,WEU,1972,established,private_independent,active,NA,retail_pricing,survey_insights,admin_records,firm,annual,global,210,prices_retail|consumer_behavior,agriculture|energy_extractives,none,public_record,subscription,commercial_only,B,Country coverage is desk-based modelling not primary collection in most markets
mintel,Mintel,NA,GBR,WEU,1972,established,private_independent,active,NA,retail_pricing,survey_insights,web_scrape,firm,monthly,multi_region,35,prices_retail|consumer_behavior,NA,indirect,public_record,subscription,commercial_only,C,Global New Products Database tracks launches across major consumer markets
statista,Statista,Ströer,DEU,WEU,2007,established,subsidiary,active,NA,survey_insights,web_data,admin_records,firm,annual,global,150,consumer_behavior|prices_retail,labor_employment,none,public_record,subscription,commercial_only,B,Aggregation and modelling layer rather than primary field collection
gfk_legacy,GfK,NIQ,DEU,WEU,1934,established,subsidiary,absorbed,2023,retail_pricing,audience_measurement,transaction,transaction,weekly,multi_region,60,prices_retail|media_audience,consumer_behavior,indirect,contractual_third_party,subscription,commercial_only,B,Point of sales tracking absorbed into NIQ after 2023
m3_global_research,M3 Global Research,M3 Inc,JPN,EAS,2000,established,subsidiary,active,NA,panel_sample,survey_insights,online_panel,individual,episodic,global,70,health_clinical|consumer_behavior,NA,direct,explicit_consent,panel_rental,commercial_only,C,Physician and healthcare professional panels
escalent,Escalent,STG Partners,USA,NOAM,2016,scaleup,private_pe,active,NA,survey_insights,NA,online_panel,individual,episodic,multi_region,10,consumer_behavior|energy_extractives,device_telemetry,direct,explicit_consent,project_commission,commercial_only,C,Sector specialist in energy mobility and financial services
material_plus,Material,LLR Partners,USA,NOAM,2018,scaleup,private_pe,active,NA,survey_insights,NA,online_panel,individual,episodic,multi_region,8,consumer_behavior,media_audience,direct,explicit_consent,project_commission,commercial_only,C,Roll-up of several US insights agencies
c_space,C Space,Omnicom,USA,NOAM,1999,established,subsidiary,active,NA,survey_insights,NA,online_panel,individual,episodic,multi_region,10,consumer_behavior,NA,direct,explicit_consent,project_commission,commercial_only,C,Online community and co-creation research
hall_and_partners,Hall and Partners,Omnicom,GBR,WEU,1992,established,subsidiary,active,NA,survey_insights,NA,online_panel,individual,episodic,multi_region,10,consumer_behavior|media_audience,NA,direct,explicit_consent,project_commission,commercial_only,C,Brand and communications research
appinio,Appinio,NA,DEU,WEU,2014,scaleup,private_vc,active,NA,survey_insights,panel_sample,online_panel,individual,daily,multi_region,90,consumer_behavior|public_opinion,NA,direct,explicit_consent,subscription,commercial_only,B,Mobile-first rapid survey platform with strongest depth in Europe
attest,Attest,NA,GBR,WEU,2015,scaleup,private_vc,active,NA,survey_insights,panel_sample,online_panel,individual,weekly,multi_region,58,consumer_behavior|public_opinion,NA,direct,explicit_consent,subscription,commercial_only,C,Self-serve consumer research with a curated panel network
zappi,Zappi,NA,GBR,WEU,2012,scaleup,private_vc,active,NA,survey_insights,collection_software,online_panel,individual,episodic,multi_region,30,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,Automated concept and advertising testing
suzy,Suzy,NA,USA,NOAM,2017,scaleup,private_vc,active,NA,survey_insights,panel_sample,online_panel,individual,daily,single_country,1,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,Largely US consumer insight
glimpse_ai,Glimpse,NA,USA,NOAM,2021,startup,private_vc,active,NA,survey_insights,ai_training_data,online_panel,individual,episodic,single_country,1,consumer_behavior|public_opinion,ai_labels,direct,explicit_consent,subscription,commercial_only,C,Combines human panel responses with model-generated augmentation
listen_labs,Listen Labs,NA,USA,NOAM,2023,startup,private_vc,active,NA,survey_insights,collection_software,online_panel,individual,episodic,multi_region,20,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,AI-moderated qualitative interviewing at survey scale
strella,Strella,NA,USA,NOAM,2023,startup,private_vc,active,NA,survey_insights,collection_software,online_panel,individual,episodic,single_country,1,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,AI-moderated interview platform
outset_ai,Outset,NA,USA,NOAM,2022,startup,private_vc,active,NA,survey_insights,collection_software,online_panel,individual,episodic,multi_region,15,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,AI interviewer for qualitative research at scale
cint,Cint,NA,SWE,WEU,1998,established,public_listed,active,NA,panel_sample,collection_software,online_panel,individual,daily,global,130,consumer_behavior|public_opinion,media_audience,direct,explicit_consent,marketplace,commercial_only,A,Exchange model aggregating over 4600 supplier panels; absorbed Lucid in 2021
dynata,Dynata,NA,USA,NOAM,1977,established,private_pe,active,NA,panel_sample,survey_insights,online_panel,individual,daily,global,70,consumer_behavior|public_opinion,media_audience,direct,explicit_consent,panel_rental,commercial_only,B,Formed from Survey Sampling International and Research Now; restructured in 2024
toluna,Toluna,NA,USA,NOAM,2000,established,private_pe,active,NA,panel_sample,survey_insights,online_panel,individual,daily,global,70,consumer_behavior|public_opinion,NA,direct,explicit_consent,panel_rental,commercial_only,A,Community of roughly 79 million members across 70 plus markets
bilendi,Bilendi,NA,FRA,WEU,1999,established,public_listed,active,NA,panel_sample,survey_insights,online_panel,individual,weekly,single_region,15,consumer_behavior|public_opinion,NA,direct,explicit_consent,panel_rental,commercial_only,B,European specialist; absorbed Respondi in 2021
norstat,Norstat,NA,EST,EEU,1997,established,private_pe,active,NA,panel_sample,field_agency,online_panel,individual,weekly,single_region,20,consumer_behavior|public_opinion,NA,direct,explicit_consent,panel_rental,commercial_only,C,Nordic Baltic and Central European panel depth
prolific,Prolific,NA,GBR,WEU,2014,scaleup,private_vc,active,NA,panel_sample,ai_training_data,online_panel,individual,daily,multi_region,38,public_opinion|consumer_behavior,ai_labels,direct,explicit_consent,marketplace,researcher_restricted,B,Academic-oriented participant pool concentrated in UK US and Western Europe
